region_id,id,longitude,latitude,mcs_count
3,30,104.0702126,30.62765654,0
3,31,104.062191,30.63497878,0
3,32,104.0910168,30.60147005,0
3,33,104.0832294,30.61003622,0
3,34,104.093349,30.61279798,0
3,35,104.0821718,30.62108986,0
3,36,104.0876696,30.62629482,0
4,1,104.0386353,30.64439563,0
4,2,104.0396023,30.6520001,0
4,3,104.0353373,30.65864428,0
4,4,104.0404192,30.66600639,0
4,5,104.0418047,30.67588108,0
4,6,104.0468938,30.64345471,0
4,7,104.0525208,30.65391508,0
4,8,104.0532685,30.66221862,0
4,9,104.0483304,30.66837255,0
4,10,104.0491186,30.67536571,0
4,11,104.0561785,30.63925399,0
4,12,104.0569477,30.64807681,0
4,13,104.0691386,30.65116929,0
4,14,104.0592155,30.65870182,0
4,15,104.0585282,30.67354255,0
4,16,104.0635463,30.67925465,0
4,17,104.0810915,30.63177715,0
4,18,104.0763436,30.63896787,0
4,19,104.0756249,30.64903858,0
4,20,104.0708461,30.66013002,0
4,21,104.0783935,30.67075945,0
4,22,104.0711942,30.67474451,0
4,23,104.0916197,30.62670573,0
4,24,104.0941893,30.63944673,0
4,25,104.0882022,30.64751202,0
4,26,104.0944885,30.6530395,0
4,27,104.0882595,30.66003925,0
4,28,104.0882699,30.66702859,0
4,29,104.0905246,30.6745022,0
4,30,104.0965988,30.63263718,0
4,31,104.100654,30.64219025,0
4,32,104.1013841,30.6497363,0
4,33,104.0965098,30.66025494,0
4,34,104.0970688,30.67030453,0
4,35,104.1122567,30.66700142,0
4,36,104.1087627,30.67512998,0
5,1,103.9819175,30.61275107,0
5,2,103.9838652,30.62875329,0
5,3,103.9888039,30.64259042,0
5,4,103.9859447,30.66404109,0
5,5,103.9832568,30.68863074,0
5,6,103.9813673,30.69715991,0
5,7,103.9853157,30.71436817,0
5,8,103.995253,30.61246766,0
5,9,103.9935119,30.63408059,0
5,10,103.9973312,30.6476369,0
5,11,103.9959273,30.66634879,0
5,12,103.991676,30.68529395,0
5,13,103.9940418,30.69417312,0
5,14,103.9901536,30.72768392,0
5,15,104.0040675,30.63269459,0
5,16,104.0065005,30.6513296,0
5,17,103.999013,30.65680496,0
5,18,104.0011943,30.67954906,0
5,19,104.0050801,30.7030083,0
5,20,104.0052393,30.72793589,0
5,21,104.0131275,30.63427797,0
5,22,104.0078687,30.64145674,0
5,23,104.0100166,30.66559449,0
5,24,104.0099415,30.6832956,0
5,25,104.0096868,30.69528176,0
5,26,104.0135891,30.71576076,0
5,27,104.0182366,30.64494709,0
5,28,104.0185019,30.66623997,0
5,29,104.0203567,30.69143978,0
5,30,104.0190137,30.70105237,0
5,31,104.0203706,30.72239058,0
5,32,104.0300909,30.64673041,0
5,33,104.0332406,30.67118902,0
5,34,104.0269288,30.70762072,0
5,35,104.0348391,30.66186113,0
5,36,104.0344065,30.67993338,0
